id,type,text
"3e9d27ca-5435-4f80-800d-1c73e8028090","Explication","uri"
"0c758e71-0479-4e68-876b-475f17b079d6","Explication","uri"
"78ae117d-80c9-4548-abe0-930812714937","Explication","uri"
"e0ca760d-5c6c-4444-9777-f6bfd1602759","Explication","uri"
"ff797862-8ab2-4998-adbe-7afc1548f2fa","Explication","uri"
"0b0da1e2-cc0a-43cf-9230-94fbacbe7f67","Explication","uri"
"edf026c7-23f9-401d-9754-762b380e580f","Explication","uri"
"1d561642-e7a9-42b9-8df4-07916f8addd9","Explication","uri"
"bef3cf6b-c3a4-4046-be00-c0d931b4f423","Explication","uri"
"68ce21aa-4ed1-4ae5-af7f-7a28426cdd28","Explication","uri"
"715e3592-eb2b-4f33-b5d6-50efe99af9f7","Explication","uri"
"9ad3e74a-a8ff-4acf-9a8e-2a6b636c14b3","Explication","uri"
"8c942759-5bdb-473e-80d2-1a57f1e39ec3","Explication","uri"
"54799e9b-fc58-4c63-930d-3485563ce9e8","Explication","uri"
"ffb10d51-a15f-4d40-b653-0a669dde2d31","Explication","uri"
"d437910a-0c3b-460f-bdf9-450d81f34467","Explication","uri"
"29e950ed-6db0-43df-a8b0-98b302136636","Explication","uri"
"b1661886-3e84-4283-b5e3-86a1f28f6507","Explication","uri"
"5913d719-03b9-435f-a33d-78bfe31efde5","Explication","uri"
"399763dd-6699-4b08-bf96-a6f453145bab","Explication","uri"
"709455e1-d434-4cc3-b351-9e1691b10ec1","Explication","uri"
"a6620e3a-d703-4297-a387-78e10c2df6e5","Explication","uri"
"b1306841-6928-4ab7-a8cc-e43069a51d2c","Explication","uri"
"bd6e4811-e9a6-4397-b6fb-9307adab347a","Explication","uri"
"c84b1bfd-a12c-44b6-9f10-d6e6032d8214","Explication","uri"
"f3afd418-3878-4975-8b8e-1cba5f7640cd","Explication","uri"
"4a29ec28-acda-40f1-8d83-84f3600d4187","Explication","uri"
"f5d70f9a-1c05-4c60-bb74-80277f0ae78a","Explication","uri"
"ea07e85a-0d24-4ecb-ae44-1562726d2b2c","Explication","uri"
"3471a774-637a-468c-b1f7-b5b3524202df","Explication","uri"
"b688c110-0e94-468b-9af3-caa860926a6c","Explication","uri"
"b3360838-6ce8-4a8a-ad21-a573444e6382","Explication","uri"
"a2d1fefd-09c5-4c5c-8e9a-00f0a78ef608","Explication","uri"
"370a8f6e-46f6-4539-a7e1-375a76ad765d","Explication","uri"
"8d6ef0b2-54bf-4db5-ad6a-dce197505edd","Explication","uri"
"7ba6604f-0548-4fcc-a82a-4c2f221ef201","Explication","uri"
"11135b12-9efa-4db2-aeaa-ec6bbea85467","Explication","uri"
"fd8dc2be-dd9e-4910-bf93-fb543a3997b2","Explication","uri"
"bd85d9d8-41e3-4ffd-b166-16e7b26e674d","Explication","uri"
"16eb67da-8796-40a2-a03f-a9c346351e59","Explication","uri"
"1982c27e-691a-4845-a609-81268c623570","Explication","uri"
"5c1193b7-49fb-4092-88fb-84f25d3d6224","Explication","uri"
"3caf738e-b46d-4bcf-b52b-5df9e39ce7f4","Explication","uri"
"a69f3228-e1a7-4a50-98c7-283f6ea64576","Explication","uri"
"c7e92c54-bc21-4840-891c-ce0e6aa66965","Explication","uri"
"95b9e19b-77ee-485e-a444-eb52c9e42e1b","Explication","uri"
"0e236e03-69d4-45ff-bfc5-2d794a04d224","Explication","uri"
"c150e6d5-16eb-40e4-bde6-64a4752568e4","Explication","uri"
"c516ebb1-f08d-47de-aaf1-68d9055fbcf1","Explication","uri"
"cca47ee7-751e-4df3-8c7c-7c19fc0ef716","Explication","uri"
